Macrophages,Fibroblasts,CD4_T,Unassigned,Plasma,Endothelial,OC,NK_Cells,Pericytes,Normal_Epithelial,Monocytes,Myofibroblasts,Adipocytes,CD8_T,B_Cells,Mast,Mesothelial,Tregs,Smooth_Muscle,BC,EC
,CASC15,,BTG3,,,ZNF26,,,NTN4,IRF2BP2,,,,,,,,,STK17B,MRPL33
,NFKB1,,COPZ2,,,RIC1,,,SLCO3A1,PLPP3,,,,,,,,,IQCG,AXL
,ING1,,FKBP11,,,ARHGEF40,,,LRP12,RCSD1,,,,,,,,,ZBTB9,FNIP2
,BMP2K,,RAMP2,,,ANKRD10,,,SPATS2L,DSTN,,,,,,,,,IVNS1ABP,CDC42EP5
,MYO6,,PVT1,,,STEAP1,,,IDS,MPP7,,,,,,,,,PLCG2,TUBB4B
,ARHGAP20,,SERPINF1,,,LITAF,,,STON1,TPM4,,,,,,,,,B3GNT2,POLR2L
,ETFB,,PTPN1,,,CENPA,,,ITGAV,CASP1,,,,,,,,,CCDC69,EPS15
,MANBA,,RETREG1,,,RAB11FIP1,,,ANLN,CCNL1,,,,,,,,,DSE,EMP2
,KCTD5,,DDX5,,,DDX28,,,RAB39B,LPIN1,,,,,,,,,FCHO1,UBALD1
,CSGALNACT2,,TPST1,,,PLEKHA5,,,DUSP7,ANKRD36C,,,,,,,,,OLFM4,CCND3
,BMP1,,HSP90B1,,,DRAP1,,,CRISPLD2,SOX11,,,,,,,,,CPEB4,ARHGEF10L
,ZDHHC17,,ERN1,,,TRIM13,,,TMEM106C,SQOR,,,,,,,,,AHI1,STAT2
,FBXO8,,PLEKHG1,,,PLEKHO1,,,TP53BP2,AXIN2,,,,,,,,,SMARCA2,MTURN
,LATS1,,PGM3,,,RPS6KB1,,,SDC4,ST6GAL1,,,,,,,,,CREBZF,RHOD
,RIPK2,,IL3RA,,,PRPF39,,,NDRG1,ATP5PD,,,,,,,,,HLF,COL18A1
,PAPOLG,,CISH,,,CREBBP,,,TFEB,MAP3K20,,,,,,,,,EPB41L2,GCH1
,OTUD1,,UNC5B,,,GCC2,,,NAF1,CRNDE,,,,,,,,,FAM43A,NECAP2
,UACA,,TLL1,,,CITED4,,,OSR2,GLRX,,,,,,,,,ENC1,ZNF317
,PFDN4,,PRSS23,,,NFATC2,,,SERPINH1,LTBP1,,,,,,,,,RALGAPA2,LMTK3
,RGS4,,HOXD8,,,USP12,,,OLFM2,HMGB3,,,,,,,,,BIN1,NMD3
,TGFB2,,JAM3,,,SNHG12,,,MHENCR,BCLAF3,,,,,,,,,PRKACB,ZNF267
,PLEKHF1,,VSTM4,,,CTSH,,,PHF21A,TNFAIP2,,,,,,,,,TACC3,DST
,SCLT1,,LRRC49,,,COX8A,,,TNFRSF13C,FKBP7,,,,,,,,,KLHL29,SCCPDH
,SOS2,,NBL1,,,CAPN10-DT,,,ANXA5,MFSD2A,,,,,,,,,HLA-F,FCGRT
,RB1,,FCGRT,,,ARL5B,,,STK17B,TMC5,,,,,,,,,REV3L,MSMO1
,PRRX1,,ABCG2,,,ATM,,,MYO1B,ATP5MF,,,,,,,,,RBM6,BCAS4
,MAP4K5,,MAFF,,,RAP2B,,,FHL2,HES1,,,,,,,,,TGFB1,ARMCX6
,KIF13B,,LMCD1,,,MSLN,,,GAS6,TNFRSF4,,,,,,,,,RPA3,ARNT
,CACNA1A,,MDGA1,,,RAB9A,,,ELF3,SNRPE,,,,,,,,,ANKRD65,SNRPE
,FUOM,,MAN1A1,,,ZDHHC12,,,KCNAB2,FRMD4A,,,,,,,,,REL,TOMM5
,RSBN1L,,BAG3,,,ZNF292,,,BOLA3,DHCR24,,,,,,,,,EPC1,SGMS2
,IL15RA,,MT1A,,,ZBTB1,,,WWTR1,ALDH1A1,,,,,,,,,PDLIM2,RHBDF2
,ELF2,,DDX21,,,GPHN,,,NR1H3,CYB5A,,,,,,,,,ITGB6,TUBB2B
,CYP27A1,,ZEB1,,,PSTPIP2,,,TES,TTC3,,,,,,,,,CDKN1C,C1R
,RFX8,,QPCT,,,TRIM37,,,MYO9B,SERBP1,,,,,,,,,ING1,ACOT9
,SESN2,,GBP2,,,WLS,,,B3GNT2,SC5D,,,,,,,,,TUBB4B,PLEKHM2
,PCNA,,SAMD4A,,,SEMA7A,,,ZNF274,ANG,,,,,,,,,CEP85L,IRAK1
,EGR3,,PLK3,,,LGMN,,,PDLIM2,NDUFB1,,,,,,,,,UBASH3B,SARNP
,SYNPO2,,PCOLCE,,,ATP2B4,,,SGCE,NFKBIZ,,,,,,,,,CASK,PSMB8
,MUC12,,PKIG,,,TUBD1,,,CAMK2N1,BLVRB,,,,,,,,,LPXN,MT-ND6
,PLA2G4C,,PRRX1,,,FBXL3,,,SMC2,TM7SF2,,,,,,,,,ITGA9,NFKB2
,RPL22L1,,SPON1,,,C1S,,,FXYD1,RPS26,,,,,,,,,TMEM156,KLF10
,IL1RL1,,ABTB2,,,TUT7,,,SYNE1,CES1,,,,,,,,,LY6K,OTUD1
,DUSP8,,WNT2B,,,KANSL2,,,APOL6,INSIG1,,,,,,,,,CDK14,PTPN1
,RAMP2,,HS3ST3B1,,,ANLN,,,CCL28,BCL11A,,,,,,,,,SOX7,KLHL24
,PPA1,,SLC7A2,,,EPOP,,,FAM184A,ALDH2,,,,,,,,,MSL3,CLIP4
,MBP,,HSPB1,,,TNFRSF12A,,,ZNF556,EFEMP1,,,,,,,,,SLC6A14,AKIRIN2
,SDC4,,CLMP,,,DYRK2,,,PCBD1,IFI6,,,,,,,,,PELI1,CASP8
,SRM,,MSX1,,,ATP13A3,,,EZR,MSMO1,,,,,,,,,MTUS1,POLR3GL
,TNXB,,CADM1,,,SRSF8,,,CLMP,DEK,,,,,,,,,MAL2,SLC41A2
,FHL1,,CNN1,,,PER2,,,BISPR,ACTG1,,,,,,,,,ERAP1,SLC44A4
,FRMD4B,,CEBPD,,,TCEAL8,,,EFNA1,VMP1,,,,,,,,,ABL2,BIRC3
,HSD11B1,,LONRF2,,,RNF146,,,BTN2A2,PTGS2,,,,,,,,,MAP3K2,USP11
,NEK10,,TFPI,,,SNTB2,,,SLC7A7,PHGDH,,,,,,,,,MUC16,RAPH1
,EMID1,,MXRA8,,,HABP4,,,RHOD,PGGHG,,,,,,,,,CCR10,TRIM47
,S1PR3,,TCEAL7,,,FSCN1,,,GSDME,ATP5MC2,,,,,,,,,IFITM1,CHIC2
,ZNF385D,,SPSB1,,,PXDN,,,SP100,KYNU,,,,,,,,,NAMPT,SLC15A4
,CLN8,,CPED1,,,CNBD2,,,CASP1,CEACAM6,,,,,,,,,FAM184A,NUB1
,TXNIP,,TMEM88,,,NAGPA,,,MICAL2,LBP,,,,,,,,,CHD1,TGM2
,FZD10,,SPARCL1,,,ZSCAN18,,,CSGALNACT1,ATP5PF,,,,,,,,,KCNMB1,SPHK1
,IL6ST,,MOBP,,,SOX9,,,SMC5,SELENOP,,,,,,,,,LIMA1,NUP98
,TCEAL7,,TXNRD1,,,CUTC,,,PHC2,APOE,,,,,,,,,AGPAT5,CYLD
,EPOP,,KLF6,,,RDX,,,TPD52,SCD,,,,,,,,,PCSK7,SH3KBP1
,ABLIM1,,SLC2A3,,,LIMS1,,,PNP,AGR2,,,,,,,,,EDNRB,ATOX1
,ITM2A,,TBX2,,,DHRS3,,,ARID4A,NUCKS1,,,,,,,,,MT1M,TMEM165
,F3,,TNFRSF4,,,CHMP1B,,,TBC1D4,CLU,,,,,,,,,KLHL15,MVD
,MHENCR,,ALDH1A1,,,SERTAD2,,,NMU,FXYD3,,,,,,,,,DRAM1,KIAA0040
,DPT,,PRICKLE2,,,TBK1,,,MAP3K7CL,LDLR,,,,,,,,,DUSP7,TOPORS
,SDCBP2,,ICAM1,,,ZNF141,,,AP3M2,PRDX2,,,,,,,,,CCNL1,ZNF274
,NFATC2,,TGM2,,,LAGE3,,,PRPF39,LTF,,,,,,,,,SUGCT,UBAP1
,NOVA1,,DNAJB1,,,HGSNAT,,,TGFB2,NEAT1,,,,,,,,,CDCA8,EPB41
,CXCL6,,CAPS,,,DYNLL1,,,RAB11FIP1,HMGN1,,,,,,,,,TGFB2,ZNF721
,PRELP,,HSPA6,,,MRPL33,,,CRYBG3,MUCL1,,,,,,,,,NBPF10,NR2C1
,SDK1,,BMP7,,,MAP2K1,,,CEP152,SOX4,,,,,,,,,BTN3A1,ERN1
,FGF7,,GUCY1A2,,,C2CD5,,,SYNGAP1,PIGR,,,,,,,,,JMY,RPS6KA5
,CYP1B1,,HSPA5,,,LATS1,,,RBM34,TNFSF10,,,,,,,,,LRP12,ACAT2
,ZNF57,,NRXN3,,,CD200,,,CCSER2,PAGE2,,,,,,,,,CTNNB1,RHOG
,RASD1,,SLC47A1,,,WDR11,,,SOX18,MARCKSL1,,,,,,,,,ACACB,CBX3
,COL14A1,,DPEP1,,,SLC39A6,,,CDC37L1,LMO4,,,,,,,,,TK1,GPATCH2L
,PTGFR,,B3GAT1,,,RAPH1,,,GTSE1,JUN,,,,,,,,,FSTL1,PKNOX1
,SNHG15,,MUC6,,,SMC5,,,CPNE8,VIM,,,,,,,,,ZCCHC8,EPB41L2
,SVEP1,,PGR,,,ZNF84,,,CCDC14,RPS21,,,,,,,,,ADAM17,YPEL3
,ARRDC4,,SERPINA5,,,CDC20,,,RRP9,MGP,,,,,,,,,PTCH2,YPEL2
,ERRFI1,,DIO2,,,CAVIN3,,,CTSZ,S100A8,,,,,,,,,ADCY3,ARHGAP30
,PDE5A,,HOXD11,,,R3HDM2,,,ANP32E,MT-CYB,,,,,,,,,TNFRSF25,SSPN
,TBX2,,GADD45A,,,METTL26,,,SGTB,,,,,,,,,,CALCB,RERE
,THBS4,,SCGB2A1,,,ABI1,,,MED17,,,,,,,,,,OTUD4,AKR1C3
,MIR503HG,,CST5,,,CDC42SE2,,,KCTD7,,,,,,,,,,SPATS2L,CEP68
,EIF4A1,,C11orf96,,,CDK11A,,,MGAT1,,,,,,,,,,HIVEP1,SH3BGRL
,LINC00513,,MT-CYB,,,PDGFC,,,TJP2,,,,,,,,,,MYSM1,SMAD3
,PTGER3,,,,,PRDM2,,,TSC22D3,,,,,,,,,,LGALS7B,NEU1
,AKAP12,,,,,MYSM1,,,CAPN2,,,,,,,,,,FTX,XRN1
,CCDC80,,,,,CTSL,,,RGMA,,,,,,,,,,RNF152,PRRG4
,HAS1,,,,,HELZ,,,DST,,,,,,,,,,GFPT2,TBC1D8
,ENPP2,,,,,CTTNBP2NL,,,MAGI2,,,,,,,,,,KIF20B,ARHGAP17
,SALL1,,,,,AKIRIN2,,,NOP2,,,,,,,,,,PPM1M,TCF7
,LINC01436,,,,,DNAJC27,,,WEE1,,,,,,,,,,POU2AF1,CRIM1
,PDE4B,,,,,MACO1,,,CLDN4,,,,,,,,,,DGKH,ASNS
,EFHD1,,,,,TENT2,,,MEX3A,,,,,,,,,,ADD3,VNN1
,PVT1,,,,,PDLIM1,,,CREBRF,,,,,,,,,,RNF166,LPP
,CTSC,,,,,ARMC9,,,AMIGO2,,,,,,,,,,ARHGAP10,MED13L
,SLC7A11,,,,,ZNF107,,,MYSM1,,,,,,,,,,APOL3,HES4
,IGFBP6,,,,,IKBIP,,,RAC2,,,,,,,,,,CROCC,PCSK7
,FERMT3,,,,,IGF2R,,,RBL2,,,,,,,,,,ACAT2,NCS1
,HGF,,,,,ZNF277,,,TMEM70,,,,,,,,,,TLE3,SASH1
,RCSD1,,,,,C21orf58,,,KANSL2,,,,,,,,,,OSBPL8,SERINC1
,LAMC3,,,,,SEL1L,,,TXLNG,,,,,,,,,,ZFAND2A,NR4A1
,PHYHIP,,,,,SLC26A11,,,CXCL2,,,,,,,,,,LIMD2,SIK3
,LY6K,,,,,POLG2,,,GPM6B,,,,,,,,,,IRX1,BCL2L11
,ATP1B3,,,,,ARID1B,,,WDFY2,,,,,,,,,,LITAF,PODXL
,HOXA10,,,,,BRD8,,,RNF213,,,,,,,,,,PKD2,MDM4
,CACNB4,,,,,PTPN6,,,PEA15,,,,,,,,,,NSD3,SELENOK
,ANXA1,,,,,EPM2AIP1,,,LMO7,,,,,,,,,,PLK2,AQP3
,BDKRB2,,,,,ETS2,,,MTERF4,,,,,,,,,,NDRG1,ATF6B
,C17orf58,,,,,VPS33A,,,ELL2,,,,,,,,,,ATP2B1,SMIM22
,SNU13,,,,,CCNA1,,,CASK,,,,,,,,,,SIK2,MAPKAPK2
,CHRDL1,,,,,SIK2,,,SLC20A1,,,,,,,,,,CDK1,ADAM10
,IL12A,,,,,CCPG1,,,MANF,,,,,,,,,,RPPH1,LRIG1
,MT-ND5,,,,,BMP7,,,PLSCR4,,,,,,,,,,APOBEC3A,GGA2
,ANGPTL4,,,,,FGD4,,,ING1,,,,,,,,,,TSPAN1,TECR
,TBX2-AS1,,,,,RICTOR,,,RERE,,,,,,,,,,RNF227,TNRC6B
,ALDH1A2,,,,,UTP3,,,ATG2A,,,,,,,,,,STRIP1,GCSH
,DAPK2,,,,,NSMAF,,,IRF2,,,,,,,,,,ITM2C,LGALS8
,BCHE,,,,,CLCN7,,,HSPA13,,,,,,,,,,LINC00847,MEX3A
,NR2F2-AS1,,,,,ZNF160,,,SLC8B1,,,,,,,,,,PRRX2,BTG1
,GDF15,,,,,TRPM7,,,TNFRSF9,,,,,,,,,,SLC38A1,TXNDC17
,CDH13,,,,,PHF1,,,SUSD2,,,,,,,,,,CD83,DDX6
,USP53,,,,,TNKS,,,FCGBP,,,,,,,,,,FER,EPS8
,SFRP1,,,,,CBFB,,,SMAP2,,,,,,,,,,ARHGAP22,RNF146
,MOXD1,,,,,PTEN,,,ZDBF2,,,,,,,,,,HPCAL1,RCN1
,GATA2,,,,,IFI35,,,PSMB8-AS1,,,,,,,,,,GOLGA8A,TTC3
,MAPK10,,,,,APPL2,,,ERICH1,,,,,,,,,,LIF,SMYD3
,MEI1,,,,,CLASP2,,,CTDSPL2,,,,,,,,,,SAA2,CHD1
,ITGA6,,,,,TSPAN14,,,SNX9,,,,,,,,,,RAPGEF5,MOSMO
,L1TD1,,,,,PPP2R5C,,,FER,,,,,,,,,,ZNF292,CCSER2
,COL21A1,,,,,RCL1,,,SAMD8,,,,,,,,,,FBXO33,ADGRG1
,SERPINE2,,,,,MON2,,,TINAGL1,,,,,,,,,,LAPTM4A,MXI1
,SOX7,,,,,TNRC6B,,,OFD1,,,,,,,,,,ANGPT1,BIN1
,CREB5,,,,,CEP170,,,GPR176,,,,,,,,,,ST6GALNAC6,RPL22L1
,IL13RA2,,,,,MUC20-OT1,,,RNF145,,,,,,,,,,ARHGAP31,CCT6A
,P3H2,,,,,ATF2,,,SEC11C,,,,,,,,,,OAF,INTS6
,GCNA,,,,,KMT2E,,,GRK2,,,,,,,,,,CEP120,MBNL2
,ESR1,,,,,SKI,,,KANSL3,,,,,,,,,,SNAPC1,CD276
,NFKBIA,,,,,MGRN1,,,UBR2,,,,,,,,,,ADPRH,UACA
,PAMR1,,,,,ZCCHC8,,,GNAL,,,,,,,,,,CRLF1,PIBF1
,GFRA2,,,,,DAPK3,,,ERRFI1,,,,,,,,,,GMNN,NSMCE3
,RAMP1,,,,,PDCL,,,DOK5,,,,,,,,,,RBM15,DNAJC3
,TAC1,,,,,WDR48,,,RASIP1,,,,,,,,,,PLEKHA2,PAFAH1B3
,RAN,,,,,ELF3,,,LAMP3,,,,,,,,,,SSTR2,MFHAS1
,RBP7,,,,,TRIM44,,,DNAJB2,,,,,,,,,,PPP1R3E,COL1A1
,WFDC1,,,,,MAN2C1,,,ACSL4,,,,,,,,,,PCNX1,GOLGA8A
,MT-ND2,,,,,USP47,,,NECTIN2,,,,,,,,,,ANKRD44,ZFHX3
,APOD,,,,,A4GALT,,,NEDD4L,,,,,,,,,,BZW1,CHD6
,TFF1,,,,,NR2C2,,,RFXAP,,,,,,,,,,ABCA1,KAT6B
,NEAT1,,,,,CTR9,,,ZNF384,,,,,,,,,,ART3,CREB3L2
,CXCL1,,,,,RAB3IP,,,ISG15,,,,,,,,,,ARSJ,UBR3
,PTGDS,,,,,ANKRD49,,,ST6GAL1,,,,,,,,,,LDLRAD4,VPS13A
,SFRP4,,,,,GGA2,,,BHLHE41,,,,,,,,,,ATG2A,COPS8
,MT-CYB,,,,,SMAP2,,,EPS15,,,,,,,,,,NET1,TMUB2
,,,,,,MDM4,,,LPXN,,,,,,,,,,ZNF460,SEL1L3
,,,,,,KANSL3,,,SHPRH,,,,,,,,,,MYLK,RBL2
,,,,,,TRIM8,,,SEC24C,,,,,,,,,,ATXN7,LGALS3BP
,,,,,,TMEM43,,,TCIRG1,,,,,,,,,,HAGHL,CEP57
,,,,,,HES6,,,LPIN2,,,,,,,,,,FAM20C,ZC3HAV1
,,,,,,SARNP,,,AFAP1L1,,,,,,,,,,ITGB1,MIA3
,,,,,,RCAN3,,,EFHD2,,,,,,,,,,IL15,EDRF1
,,,,,,NFKB1,,,LINC00702,,,,,,,,,,ATP5F1B,TOMM7
,,,,,,MOB2,,,SYNE2,,,,,,,,,,SRCAP,SEC14L1
,,,,,,MFSD1,,,MAFG,,,,,,,,,,FAM13A,TNRC6A
,,,,,,SAP30,,,STK38L,,,,,,,,,,RFLNB,APPBP2
,,,,,,CKLF,,,TCF7,,,,,,,,,,ABHD17B,PTEN
,,,,,,R3HDM4,,,ZNF350,,,,,,,,,,DDR2,CWC25
,,,,,,SAMD9,,,COPS8,,,,,,,,,,LINC00513,TRPM7
,,,,,,TSPAN31,,,FMNL2,,,,,,,,,,ZC3H6,TRMT13
,,,,,,CPM,,,ZNF844,,,,,,,,,,SETD2,EPC1
,,,,,,ADGRF1,,,LIMD2,,,,,,,,,,TXN,ZFP14
,,,,,,IVNS1ABP,,,ATP11C,,,,,,,,,,RGS3,CSRP2
,,,,,,RBP1,,,MATR3,,,,,,,,,,ZNF490,PCMTD2
,,,,,,RNF213,,,ETS2,,,,,,,,,,LRRC37A2,LATS1
,,,,,,KCNG1,,,ELF5,,,,,,,,,,SMIM10L1,ABL1
,,,,,,STOM,,,SP140L,,,,,,,,,,VPS13B,CRYL1
,,,,,,ARHGAP26,,,PPP1R15A,,,,,,,,,,CRYBG1,POLK
,,,,,,PSEN1,,,CRYBG1,,,,,,,,,,ARAP1,PRCP
,,,,,,GYPC,,,POPDC2,,,,,,,,,,EREG,RGS12
,,,,,,EPAS1,,,PLEKHA4,,,,,,,,,,HOXA11,PPP1CA
,,,,,,SAMD4A,,,TBCC,,,,,,,,,,LRCH1,ID4
,,,,,,ORMDL3,,,DRAM1,,,,,,,,,,IFNGR2,HIPK1
,,,,,,REC8,,,ING3,,,,,,,,,,SAP25,TP53I3
,,,,,,PFN1,,,RASGEF1B,,,,,,,,,,SNAI1,PTAR1
,,,,,,CTSD,,,TNFSF15,,,,,,,,,,TSPYL2,KANSL1
,,,,,,PCBD1,,,LMNB1,,,,,,,,,,TNFAIP8L1,FRYL
,,,,,,COL1A2,,,TMEM40,,,,,,,,,,CCDC93,PIK3R3
,,,,,,RAPGEF1,,,ALCAM,,,,,,,,,,PCCA,AMIGO2
,,,,,,ZNF224,,,RABGAP1L,,,,,,,,,,TAGAP,CAMK2D
,,,,,,ATOX1,,,MTR,,,,,,,,,,OAS1,MRPL57
,,,,,,SPHK1,,,WTAP,,,,,,,,,,TNFRSF10D,CAPRIN2
,,,,,,FKBP5,,,TMC5,,,,,,,,,,WEE1,JPT1
,,,,,,GAK,,,ZNF292,,,,,,,,,,MED24,ZNF43
,,,,,,ETFB,,,PGBD5,,,,,,,,,,USPL1,CSPP1
,,,,,,TACC1,,,CTSF,,,,,,,,,,ZNF136,USP54
,,,,,,SMIM14,,,IKBKB,,,,,,,,,,NFKBIZ,SPG11
,,,,,,PHC2,,,LAP3,,,,,,,,,,PTBP2,DCN
,,,,,,TSPAN13,,,ICAM3,,,,,,,,,,EMID1,NDE1
,,,,,,KLF9,,,CAPN8,,,,,,,,,,FLCN,PSD3
,,,,,,ADM,,,PARP6,,,,,,,,,,ENTPD4,ENAH
,,,,,,EXOG,,,RAD50,,,,,,,,,,CRLF3,MED23
,,,,,,TMEM38B,,,MORC3,,,,,,,,,,SERINC5,ZNF493
,,,,,,RRAGD,,,MLLT6,,,,,,,,,,GPX1,PEX1
,,,,,,TIAM2,,,PPFIBP2,,,,,,,,,,ROBO1,PYCARD
,,,,,,YPEL2,,,FAM3C,,,,,,,,,,N4BP2L2,JAG1
,,,,,,CDH6,,,ETNK1,,,,,,,,,,KDM6B,COL4A1
,,,,,,C17orf67,,,KITLG,,,,,,,,,,DCK,MYLK
,,,,,,FLNC,,,ADAM10,,,,,,,,,,INTS6,MTUS1
,,,,,,MTHFR,,,CDIP1,,,,,,,,,,ZNF335,RGS10
,,,,,,RNF180,,,WLS,,,,,,,,,,SAP30,FAT1
,,,,,,AHR,,,MOB2,,,,,,,,,,ZBTB1,ASAH1
,,,,,,TXNDC17,,,CSNK1G2,,,,,,,,,,PIM1,CPEB4
,,,,,,SEC14L1,,,TAP1,,,,,,,,,,RBM7,ADD3
,,,,,,ANK3,,,PLCXD1,,,,,,,,,,PPP2R5C,ERBIN
,,,,,,ANXA11,,,SRPX,,,,,,,,,,RGMA,SLC25A4
,,,,,,SWAP70,,,SUPT20H,,,,,,,,,,MADD,CCDC191
,,,,,,SMAD7,,,GOLT1B,,,,,,,,,,RAP2C,CHST12
,,,,,,ZC3H12A,,,RBM7,,,,,,,,,,MAP4K4,KIZ
,,,,,,KLHL21,,,PIGA,,,,,,,,,,ABTB1,WDR11
,,,,,,ITGA6,,,ZNF493,,,,,,,,,,MBNL1,PCOLCE
,,,,,,CLEC11A,,,ASAH1,,,,,,,,,,ZBTB11,UGDH
,,,,,,MUL1,,,PAPOLG,,,,,,,,,,MGAT1,MAP2K6
,,,,,,KIAA0232,,,ZSWIM8,,,,,,,,,,RAP2A,PRMT9
,,,,,,TTC14,,,LAMB2,,,,,,,,,,SLC25A42,NHLRC3
,,,,,,SUN2,,,ZC3H12A,,,,,,,,,,TSC22D1,SPART
,,,,,,FAM228B,,,ACSL1,,,,,,,,,,CTSB,INO80D
,,,,,,BCAS4,,,ZMIZ1,,,,,,,,,,NFKB1,ELF2
,,,,,,DSC2,,,PAX8,,,,,,,,,,GXYLT2,GORAB
,,,,,,SEMA3C,,,ZNF10,,,,,,,,,,FXYD6,LRBA
,,,,,,S100A1,,,TNC,,,,,,,,,,NDUFV2-AS1,NECTIN3
,,,,,,ADD1,,,TUSC1,,,,,,,,,,PIGR,SLC39A6
,,,,,,RFFL,,,ITFG2,,,,,,,,,,CYTH1,SUMF2
,,,,,,SP140L,,,MXRA7,,,,,,,,,,NFATC2,ODF2L
,,,,,,DDB2,,,SCLT1,,,,,,,,,,ARRDC3,C1orf21
,,,,,,ZNF324,,,GAL,,,,,,,,,,SBSPON,YTHDC2
,,,,,,TCIRG1,,,RIPK1,,,,,,,,,,PTPN6,IL6ST
,,,,,,LGALS9,,,SLC20A2,,,,,,,,,,PRKCH,PEAK1
,,,,,,SLAIN1,,,SNAPC1,,,,,,,,,,UBTD2,BNIP3L
,,,,,,KIAA0930,,,EPC1,,,,,,,,,,ARHGEF2,LIMS1
,,,,,,SSR4,,,LRRC37B,,,,,,,,,,PDE7A,ID2
,,,,,,LRRFIP1,,,ABLIM3,,,,,,,,,,AXIN2,TTC21B
,,,,,,RPL36A,,,SLC7A5,,,,,,,,,,SMG6,PTGS2
,,,,,,SPON1,,,ARFGEF1,,,,,,,,,,LINC00324,CDH1
,,,,,,POC1B-AS1,,,NKTR,,,,,,,,,,IGFBP7,ARHGAP26
,,,,,,RASAL2,,,DPYSL2,,,,,,,,,,SORL1,PALLD
,,,,,,PPP1R15A,,,SRSF8,,,,,,,,,,IFFO2,SIPA1L2
,,,,,,RETREG3,,,DNAJB14,,,,,,,,,,NAF1,HLA-DMB
,,,,,,RIN3,,,KYNU,,,,,,,,,,SPSB3,HELQ
,,,,,,ASS1,,,MAFF,,,,,,,,,,SETDB2,SLC43A2
,,,,,,LYSMD2,,,GNG11,,,,,,,,,,SWT1,DMXL2
,,,,,,BMP2K,,,PTGS1,,,,,,,,,,LNPEP,LGR5
,,,,,,TNS2,,,DHRS3,,,,,,,,,,SDC3,PHLDA1
,,,,,,PCMTD2,,,GPSM3,,,,,,,,,,CXCL2,TNKS
,,,,,,NDEL1,,,UBTD2,,,,,,,,,,EGLN2,SMIM14
,,,,,,PLLP,,,MTMR6,,,,,,,,,,BIN3,NRTN
,,,,,,KIZ,,,PDGFC,,,,,,,,,,RHOQ,OSTF1
,,,,,,RNASEK,,,FBXL20,,,,,,,,,,RHBDD2,HILPDA
,,,,,,MGST3,,,FSTL1,,,,,,,,,,HSPA13,USF1
,,,,,,FOXO3,,,TBC1D15,,,,,,,,,,SDC1,RHOU
,,,,,,GPC6,,,RNF19B,,,,,,,,,,ZNF333,ATP5MC2
,,,,,,HLA-DMB,,,WASL,,,,,,,,,,ZC3H7A,WLS
,,,,,,EMILIN2,,,DNAJB5,,,,,,,,,,SLC38A5,JADE1
,,,,,,CYGB,,,NPHP3,,,,,,,,,,ANKRD28,ZFYVE16
,,,,,,MYADM,,,CRY1,,,,,,,,,,HELZ2,REV3L
,,,,,,CDKN2D,,,C1S,,,,,,,,,,MARF1,TSTD1
,,,,,,SLC1A5,,,ZNF324,,,,,,,,,,NIFK-AS1,GLYR1
,,,,,,EOGT,,,CAMTA2,,,,,,,,,,OGFRL1,SERINC5
,,,,,,SH3KBP1,,,ARL6IP1,,,,,,,,,,RGL1,SMC2
,,,,,,ABTB1,,,AHR,,,,,,,,,,GRAMD1C,PLXDC2
,,,,,,IDS,,,KRBOX4,,,,,,,,,,BAZ1A,CMTM3
,,,,,,DAPP1,,,MUC4,,,,,,,,,,THADA,ACSM3
,,,,,,CMBL,,,FTX,,,,,,,,,,ANKRD49,ABRAXAS1
,,,,,,NNMT,,,CENPC,,,,,,,,,,FRMD6,DUT
,,,,,,FBLN1,,,NEXN,,,,,,,,,,HABP4,IDH2
,,,,,,PDLIM5,,,RNF125,,,,,,,,,,LHFPL2,DCBLD2
,,,,,,CLDN10,,,ZDHHC14,,,,,,,,,,CAPN7,CGNL1
,,,,,,RELT,,,KDM4C,,,,,,,,,,ZDBF2,KCNMA1
,,,,,,DOK1,,,ZNF263,,,,,,,,,,KANSL3,ANKRA2
,,,,,,MT1F,,,RAD9A,,,,,,,,,,MOB2,LAPTM4A
,,,,,,INAFM1,,,PHTF2,,,,,,,,,,RFX3,PSAT1
,,,,,,SPA17,,,BRD8,,,,,,,,,,ANKAR,CDC14A
,,,,,,KRT16,,,PHKG1,,,,,,,,,,GSTO1,HTRA1
,,,,,,HTATIP2,,,EPB41L2,,,,,,,,,,KLHL2,SLC44A1
,,,,,,ATP5IF1,,,HOXA11,,,,,,,,,,ZC3HAV1,ABHD14B
,,,,,,DAB2,,,ESCO1,,,,,,,,,,MIS12,STIM2
,,,,,,CDC42EP2,,,AVIL,,,,,,,,,,CLDN15,CRISPLD2
,,,,,,DKK3,,,SNX10,,,,,,,,,,GIT2,SYNE1
,,,,,,CPD,,,GJB3,,,,,,,,,,GOLIM4,FBXL20
,,,,,,KRT5,,,RNPEPL1,,,,,,,,,,SKIL,KPNA5
,,,,,,SMIM22,,,TRNP1,,,,,,,,,,RAB31,GBE1
,,,,,,EPB41L4A-AS1,,,BTN3A1,,,,,,,,,,TRIM52-AS1,PRAME
,,,,,,POU2F2,,,ZNRF2,,,,,,,,,,RFX7,CBFB
,,,,,,KAZN,,,TRPC4AP,,,,,,,,,,SESN2,ROBO1
,,,,,,ZBTB16,,,ERAP1,,,,,,,,,,TMEM91,PDLIM1
,,,,,,TRIM47,,,SELENOS,,,,,,,,,,C1S,PARP1
,,,,,,MSN,,,WSB1,,,,,,,,,,C3,AFF1
